611;10;202607;202607;SPO5400EBT;0; LENL;N;22367;60302,7;0,0061;367,84;13,93;0;381,77
611;10;202607;202607;SPO5400EBT;0; LENL;R;1005;1907,8;0,00427;8,14;0,3;0;8,44
611;10;202607;202607;SPO5400TIM;0; LENL;N;3212;9109,3;0,0061;55,56;2,1;0;57,66
611;10;202607;202607;SPO5400TIM;0; LENL;R;202;323,2;0,00427;1,38;0,05;0;1,43
611;10;202607;202607;SPO5400TLF;0; LENL;N;322931;967291,3;0,0061;5900,47;223,52;0;6123,99
611;10;202607;202607;SPO5400TLF;0; LENL;R;18280;37447,4;0,00427;159,9;6,05;0;165,95
611;10;202607;202607;SPO5401TLF;0; LENL;N;146315;442932,8;0,00604;2675,32;101,34;0;2776,66
611;10;202607;202607;;1;     ; ;514312;1519314,5;0;9168,61;347,29;0;9515,9
606;20;202607;202607;RJO5350TLM;0; LENL;N;78669;245084,1;0,00605;1482,75;56,17;0;1538,92
606;20;202607;202607;RJO5350TLM;0; LENL;R;2609;5270,8;0,00423;22,29;0,84;0;23,13
606;20;202607;202607;RJO5351TLM;0; LENL;N;30146;90069,3;0,00605;544,92;20,64;0;565,56
606;20;202607;202607;;1;     ; ;111424;340424,2;0;2049,96;77,65;0;2127,61
607;30;202607;202607;BHE5350CLA;0; LENL;N;72;138,6;0,00605;0,83;0,03;0;0,86
607;30;202607;202607;BHE5350CLA;0; LENL;R;3;4,1;0,00423;0,01;0;0;0,01
607;30;202607;202607;BHE5350EBT;0; LENL;N;134631;338472,9;0,00605;2047,76;77,57;0;2125,33
607;30;202607;202607;BHE5350EBT;0; LENL;R;6221;11106,2;0,00423;46,97;1,77;0;48,74
607;30;202607;202607;BHE5350TLM;0; LENL;N;4555;11587,4;0,00605;70,1;2,65;0;72,75
607;30;202607;202607;BHE5350TLM;0; LENL;R;82;131,2;0,00423;0,55;0,02;0;0,57
607;30;202607;202607;BHE5351EBT;0; LENL;N;62067;185436,9;0,00605;1121,89;42,5;0;1164,39
607;30;202607;202607;;1;     ; ;207631;546877,3;0;3288,11;124,54;0;3412,65
605;44;202607;202607;CTA5350EBT;0; LENL;N;2154;6259,6;0,00608;38,05;1,44;0;39,49
605;44;202607;202607;CTA5350EBT;0; LENL;R;199;451;0,00425;1,91;0,07;0;1,98
605;44;202607;202607;CTA5350EBT;0; LENL;N;1422;4283,1;0,00608;26,04;0,98;0;27,02
605;44;202607;202607;CTA5350EBT;0; LENL;R;140;324,5;0,00425;1,37;0,05;0;1,42
605;44;202607;202607;;1;     ; ;3915;11318,2;0;67,37;2,54;0;69,91
;;;;;;;;;;;;;;
